Nodes, Edges, Matrix, Heap
1000,1000,14096500,14464000
2000,2000,9034900,7849900
3000,3000,20971300,3174400
4000,4000,25550800,3823300
5000,5000,38569000,2711700
6000,6000,54521500,3167300
7000,7000,74380900,3315200
8000,8000,98189300,3545000
9000,9000,122954200,3348200
10000,10000,152866500,3910500
1000,998000,1432600,20899500
2000,3996000,5493800,85290600
3000,8994000,13225700,277562800
4000,15992000,24115700,430991100
5000,24990000,38747900,603856800
6000,35988000,53497000,1114510200
7000,48986000,76717500,1486755800
8000,63984000,96781100,1972542400
9000,80982000,146364200,2713861300
10000,99980000,153406300,3085861700
